name   arrival   end   ready   running   waiting
a10         0       860         0       340       520
a11       360      1110       510       270       330
a0         0      1685       180       245      1260
a2       360      2360       420       465      1475
a6         0      3215      1110       275      1830
a1      1800      3720      2730        95       895
a9      1800      3835      1825       455      1555
a3       720      4410      1390       295      2725
a12      1080      4495      1460       295      2740
a14      1440      4535      2360       250      1925
a13      3240      4660      3285       465       910
a7      2520      5005      2570       435      2000
a8       720      5010      1320       425      3265
a4       360      5100      1250       510      3340
a5      2880      5190      3975       370       845
